symbol,timestamp,price,volume,change_percent
AMZN,2025-05-08T17:39:51.134427,355.1,5811,1.72
PYPL,2025-05-08T17:39:51.448479,255.03,4521,1.69
MSFT,2025-05-08T17:39:51.458475,314.81,9876,-0.83
NFLX,2025-05-08T17:39:51.575482,210.82,1801,4.27
TSLA,2025-05-08T17:39:52.136692,302.02,9726,-0.15
ADBE,2025-05-08T17:39:52.456349,349.49,3431,-4.01
ADBE,2025-05-08T17:39:52.464606,81.48,6046,-3.43
TSLA,2025-05-08T17:39:52.580821,254.02,3126,-2.84
AMZN,2025-05-08T17:39:53.142559,258.3,4192,3.16
META,2025-05-08T17:39:53.461041,326.38,4132,-1.13
TSLA,2025-05-08T17:39:53.468769,496.68,9104,-3.3
META,2025-05-08T17:39:53.584392,191.43,2409,4.86
META,2025-05-08T17:39:54.147362,325.06,3396,-2.51
MSFT,2025-05-08T17:39:54.466617,440.61,6127,4.98
AAPL,2025-05-08T17:39:54.473026,285.14,5551,1.02
TSLA,2025-05-08T17:39:54.592743,309.81,8013,-1.7
TSLA,2025-05-08T17:39:55.153785,94.99,7651,0.28
PYPL,2025-05-08T17:39:55.469870,82.07,8428,-2.39
NFLX,2025-05-08T17:39:55.477828,263.3,6269,0.21
ADBE,2025-05-08T17:39:55.601997,300.78,9153,2.07
TSLA,2025-05-08T17:39:56.163660,429.74,4914,-2.91
ADBE,2025-05-08T17:39:56.474252,229.6,3133,1.09
GOOG,2025-05-08T17:39:56.489914,488.26,2940,-0.22
NFLX,2025-05-08T17:39:56.609890,161.76,2441,4.11
NFLX,2025-05-08T17:39:57.169620,479.12,1355,2.08
MSFT,2025-05-08T17:39:57.478788,264.4,7735,-4.15
NFLX,2025-05-08T17:39:57.499093,287.56,2947,1.33
TSLA,2025-05-08T17:39:57.617742,290.83,8726,-0.52
ADBE,2025-05-08T17:39:58.179457,75.79,2549,2.3
NVDA,2025-05-08T17:39:58.487477,373.76,2614,-3.32
MSFT,2025-05-08T17:39:58.503580,59.29,7792,2.28
NVDA,2025-05-08T17:39:58.621090,399.46,1150,-3.71
PYPL,2025-05-08T17:39:59.258321,237.22,2052,3.35
MSFT,2025-05-08T17:39:59.495949,146.36,1695,-3.21
GOOG,2025-05-08T17:39:59.513149,462.37,3701,-2.35
NVDA,2025-05-08T17:39:59.628959,349.96,2862,2.68
TSLA,2025-05-08T17:40:00.267810,178.59,4553,-0.39
NFLX,2025-05-08T17:40:00.505501,178.26,2787,3.26
AAPL,2025-05-08T17:40:00.526684,129.73,8235,-2.49
AAPL,2025-05-08T17:40:00.636692,209.29,3916,1.57
GOOG,2025-05-08T17:40:01.275530,137.98,3773,-2.02
AMZN,2025-05-08T17:40:01.511542,375.92,1186,-4.75
AMZN,2025-05-08T17:40:01.530275,388.89,6129,2.14
ADBE,2025-05-08T17:40:01.640659,311.06,5883,-3.11
NFLX,2025-05-08T17:40:02.285249,404.49,7428,2.27
ADBE,2025-05-08T17:40:02.518853,429.09,1680,3.59
NFLX,2025-05-08T17:40:02.532282,172.87,9836,-1.67
AAPL,2025-05-08T17:40:02.645375,245.34,6889,4.69
MSFT,2025-05-08T17:40:03.290099,374.42,4003,-3.62
GOOG,2025-05-08T17:40:03.526592,125.18,5657,-3.91
GOOG,2025-05-08T17:40:03.534419,304.94,9940,-2.26
MSFT,2025-05-08T17:40:03.647586,492.94,6653,-1.26
ADBE,2025-05-08T17:40:04.292991,122.45,9409,1.79
GOOG,2025-05-08T17:40:04.532811,265.37,7839,-4.35
AAPL,2025-05-08T17:40:04.539487,75.05,3110,-3.15
ADBE,2025-05-08T17:40:04.652844,272.78,1334,-4.52
NFLX,2025-05-08T17:40:05.300266,131.12,9051,-1.07
ADBE,2025-05-08T17:40:05.535838,342.24,9661,4.61
NFLX,2025-05-08T17:40:05.545715,238.35,7474,4.1
META,2025-05-08T17:40:05.659819,230.84,1990,2.31
PYPL,2025-05-08T17:40:06.307071,436.9,6438,2.08
AMZN,2025-05-08T17:40:06.540190,244.27,1109,1.1
MSFT,2025-05-08T17:40:06.548030,282.85,5959,0.87
NVDA,2025-05-08T17:40:06.663259,118.82,8557,-1.51
TSLA,2025-05-08T17:40:07.313715,59.69,2599,4.13
MSFT,2025-05-08T17:40:07.542307,391.94,5862,-3.41
ADBE,2025-05-08T17:40:07.553941,147.66,2703,-2.61
PYPL,2025-05-08T17:40:07.674017,293.94,5743,-1.63
PYPL,2025-05-08T17:40:08.317565,213.44,7190,3.56
META,2025-05-08T17:40:08.549533,463.81,5526,0.18
GOOG,2025-05-08T17:40:08.555976,486.55,2171,-1.82
GOOG,2025-05-08T17:40:08.683021,334.14,1875,-0.71
MSFT,2025-05-08T17:40:09.322887,326.89,4231,4.12
NFLX,2025-05-08T17:40:09.553350,466.21,8021,-1.23
MSFT,2025-05-08T17:40:09.562024,481.43,2214,-3.33
NFLX,2025-05-08T17:40:09.685933,248.75,5229,4.99
PYPL,2025-05-08T17:40:10.327584,154.41,2578,-4.5
ADBE,2025-05-08T17:40:10.557792,104.18,6542,3.05
NFLX,2025-05-08T17:40:10.569492,311.2,6793,3.85
AMZN,2025-05-08T17:40:10.688905,351.87,3367,2.86
ADBE,2025-05-08T17:40:11.331234,242.51,1661,0.88
GOOG,2025-05-08T17:40:11.565755,346.58,3690,4.89
NFLX,2025-05-08T17:40:11.572483,437.63,4526,-3.55
ADBE,2025-05-08T17:40:11.697199,115.95,3119,2.04
TSLA,2025-05-08T17:40:12.334664,86.32,6133,-4.11
NFLX,2025-05-08T17:40:12.569105,361.46,2383,-4.15
NVDA,2025-05-08T17:40:12.580127,409.04,9235,-3.03
TSLA,2025-05-08T17:40:12.700515,78.0,2169,4.31
AAPL,2025-05-08T17:40:13.337909,304.74,3039,0.3
AAPL,2025-05-08T17:40:13.573781,435.43,6566,2.56
AMZN,2025-05-08T17:40:13.582742,372.8,3596,0.66
GOOG,2025-05-08T17:40:13.704860,409.1,4956,3.98
NFLX,2025-05-08T17:40:14.341615,406.79,7201,-3.74
NFLX,2025-05-08T17:40:14.577393,196.11,8082,-0.55
TSLA,2025-05-08T17:40:14.585538,206.9,9781,3.52
NFLX,2025-05-08T17:40:14.708157,72.52,1040,0.58
NVDA,2025-05-08T17:40:15.345145,281.98,6971,0.13
AAPL,2025-05-08T17:40:15.583511,269.36,3881,-4.3
NFLX,2025-05-08T17:40:15.593057,423.69,7676,-0.59
TSLA,2025-05-08T17:40:15.709998,96.69,1311,-4.36
GOOG,2025-05-08T17:40:16.350068,366.43,6615,-0.84
META,2025-05-08T17:40:16.590997,155.93,5478,-3.3
TSLA,2025-05-08T17:40:16.597088,195.74,1384,-3.87
AAPL,2025-05-08T17:40:16.717435,479.43,2238,-1.0
ADBE,2025-05-08T17:40:17.355453,465.02,9918,-4.42
MSFT,2025-05-08T17:40:17.597707,240.48,1864,3.16
GOOG,2025-05-08T17:40:17.600216,108.59,4680,-2.19
TSLA,2025-05-08T17:40:17.719425,189.82,2123,4.21
PYPL,2025-05-08T17:40:18.359951,211.13,9381,-3.54
NFLX,2025-05-08T17:40:18.599827,62.68,4089,-0.41
NVDA,2025-05-08T17:40:18.605854,446.28,9705,-2.28
AAPL,2025-05-08T17:40:18.725443,340.82,2273,-2.94
TSLA,2025-05-08T17:40:19.363696,231.74,4576,1.71
MSFT,2025-05-08T17:40:19.602528,458.44,4492,-1.22
ADBE,2025-05-08T17:40:19.607437,299.54,2294,-3.59
AAPL,2025-05-08T17:40:19.732955,436.36,8312,3.09
TSLA,2025-05-08T17:40:20.370439,282.42,6354,1.7
GOOG,2025-05-08T17:40:20.607661,349.58,4654,-3.66
META,2025-05-08T17:40:20.609397,292.45,7412,0.63
AAPL,2025-05-08T17:40:20.737613,92.27,5831,1.62
NFLX,2025-05-08T17:40:21.375408,303.87,2208,-0.16
TSLA,2025-05-08T17:40:21.610937,271.67,8010,4.39
MSFT,2025-05-08T17:40:21.614162,396.68,7740,2.5
AMZN,2025-05-08T17:40:21.743280,353.85,7601,-4.64
META,2025-05-08T17:40:22.378939,302.81,7674,0.72
TSLA,2025-05-08T17:40:22.614290,258.69,6987,-2.7
PYPL,2025-05-08T17:40:22.615941,457.49,2866,-0.58
GOOG,2025-05-08T17:40:22.746722,243.85,6611,-2.25
NFLX,2025-05-08T17:40:23.386571,322.22,6913,-3.92
MSFT,2025-05-08T17:40:23.618154,91.8,3721,1.55
GOOG,2025-05-08T17:40:23.618387,100.06,1376,-1.54
META,2025-05-08T17:40:23.755177,480.37,5129,-3.14
NFLX,2025-05-08T17:40:24.392279,101.69,9375,-2.68
MSFT,2025-05-08T17:40:24.623465,181.56,4607,-0.02
GOOG,2025-05-08T17:40:24.623260,353.75,9555,3.63
NFLX,2025-05-08T17:40:24.759367,305.25,6303,0.37
PYPL,2025-05-08T17:40:25.394388,321.9,4909,-3.55
AMZN,2025-05-08T17:40:25.627352,240.37,9159,-3.29
META,2025-05-08T17:40:25.627356,359.08,6955,-1.83
NFLX,2025-05-08T17:40:25.761304,409.69,6193,-3.83
NFLX,2025-05-08T17:40:26.397293,125.0,8812,-4.95
TSLA,2025-05-08T17:40:26.633265,328.3,1477,2.24
NVDA,2025-05-08T17:40:26.633183,477.83,3892,1.93
META,2025-05-08T17:40:26.768212,300.87,7539,3.17
ADBE,2025-05-08T17:40:27.401237,316.46,3345,-2.44
AMZN,2025-05-08T17:40:27.636314,170.47,1993,-1.39
PYPL,2025-05-08T17:40:27.638334,405.13,8005,-4.01
ADBE,2025-05-08T17:40:27.775737,251.92,8464,-4.67
NFLX,2025-05-08T17:40:28.406035,354.9,9916,-2.31
AMZN,2025-05-08T17:40:28.641776,242.97,9538,3.0
MSFT,2025-05-08T17:40:28.641788,238.23,9869,-3.99
PYPL,2025-05-08T17:40:28.778281,341.29,4235,3.09
NFLX,2025-05-08T17:40:29.415387,125.48,2452,2.61
AAPL,2025-05-08T17:40:29.646112,162.97,9212,4.58
NVDA,2025-05-08T17:40:29.646444,385.48,3121,0.05
META,2025-05-08T17:40:29.783078,372.31,6211,-3.6
AMZN,2025-05-08T17:40:30.418732,185.53,7032,2.62
NVDA,2025-05-08T17:40:30.648135,143.97,6064,-2.01
NFLX,2025-05-08T17:40:30.652089,375.87,2800,2.53
ADBE,2025-05-08T17:40:30.789172,188.16,4956,1.87
AAPL,2025-05-08T17:40:31.423628,374.51,5349,-4.68
ADBE,2025-05-08T17:40:31.655450,431.0,4869,-4.43
MSFT,2025-05-08T17:40:31.656956,405.73,7258,3.37
TSLA,2025-05-08T17:40:31.796367,362.14,5871,0.26
ADBE,2025-05-08T17:40:32.425712,390.69,1723,2.92
AMZN,2025-05-08T17:40:32.662256,404.19,1602,-2.17
PYPL,2025-05-08T17:40:32.663045,179.93,5878,0.43
AAPL,2025-05-08T17:40:32.804249,382.38,7543,2.8
AMZN,2025-05-08T17:40:33.432227,490.87,7131,0.86
NFLX,2025-05-08T17:40:33.669343,440.88,9071,0.15
MSFT,2025-05-08T17:40:33.669346,232.16,9959,1.27
ADBE,2025-05-08T17:40:33.807007,165.13,2390,3.04
AMZN,2025-05-08T17:40:34.434689,255.32,6105,-1.24
AAPL,2025-05-08T17:40:34.675841,350.65,9267,4.19
AAPL,2025-05-08T17:40:34.676829,61.9,3001,-3.56
NVDA,2025-05-08T17:40:34.810320,496.95,9278,4.45
MSFT,2025-05-08T17:40:35.436866,260.68,9684,2.83
AAPL,2025-05-08T17:40:35.679593,94.18,8648,-2.68
META,2025-05-08T17:40:35.680226,345.34,6035,-3.05
MSFT,2025-05-08T17:40:35.815967,454.6,1403,2.2
NVDA,2025-05-08T17:40:36.440319,131.28,8685,-0.82
META,2025-05-08T17:40:36.684725,178.94,6261,-3.77
TSLA,2025-05-08T17:40:36.684865,178.0,9853,-2.95
GOOG,2025-05-08T17:40:36.818227,236.86,3095,4.5
TSLA,2025-05-08T17:40:37.448094,330.99,7398,-4.16
TSLA,2025-05-08T17:40:37.687381,115.19,2361,3.85
NFLX,2025-05-08T17:40:37.690552,473.3,3523,-1.23
NVDA,2025-05-08T17:40:37.820975,137.45,1831,-3.1
MSFT,2025-05-08T17:40:38.451507,100.08,6414,1.36
PYPL,2025-05-08T17:40:38.692709,283.8,8313,-3.19
NVDA,2025-05-08T17:40:38.692627,67.02,6867,3.81
META,2025-05-08T17:40:38.824132,279.73,1449,0.43
NVDA,2025-05-08T17:40:39.458430,228.99,7221,2.53
ADBE,2025-05-08T17:40:39.695303,122.08,8808,4.89
META,2025-05-08T17:40:39.699199,468.09,4738,2.99
META,2025-05-08T17:40:39.832554,89.24,5383,-1.2
PYPL,2025-05-08T17:40:40.466056,285.62,6599,-1.13
AAPL,2025-05-08T17:40:40.697800,253.46,3345,-0.28
ADBE,2025-05-08T17:40:40.701047,181.99,9090,1.14
MSFT,2025-05-08T17:40:40.835494,420.94,3568,-2.32
NFLX,2025-05-08T17:40:41.468855,186.05,4673,-4.4
NFLX,2025-05-08T17:40:41.700933,379.1,5107,2.26
MSFT,2025-05-08T17:40:41.708876,150.85,9805,3.99
PYPL,2025-05-08T17:40:41.843948,68.88,8776,-3.14
META,2025-05-08T17:40:42.473602,303.13,6448,-0.71
AAPL,2025-05-08T17:40:42.703592,137.83,3760,2.39
NVDA,2025-05-08T17:40:42.711446,264.11,9792,-3.06
NVDA,2025-05-08T17:40:42.852101,176.25,9910,-0.18
ADBE,2025-05-08T17:40:43.483183,408.94,8796,-2.82
AMZN,2025-05-08T17:40:43.710432,480.97,2575,-3.04
AMZN,2025-05-08T17:40:43.713601,349.08,5729,2.12
ADBE,2025-05-08T17:40:43.855350,478.02,5767,2.75
MSFT,2025-05-08T17:40:44.487695,371.58,6711,-0.6
AAPL,2025-05-08T17:40:44.713816,78.25,8654,-4.74
MSFT,2025-05-08T17:40:44.715756,193.95,7988,-4.53
AMZN,2025-05-08T17:40:44.862109,225.08,1490,2.72
MSFT,2025-05-08T17:40:45.494243,95.63,8110,-2.04
MSFT,2025-05-08T17:40:45.716384,261.2,1988,4.08
AAPL,2025-05-08T17:40:45.719924,85.58,2538,-1.37
GOOG,2025-05-08T17:40:45.864638,144.04,3050,-1.99
GOOG,2025-05-08T17:40:46.501835,468.99,4213,-1.63
NFLX,2025-05-08T17:40:46.719046,309.2,1484,0.15
NVDA,2025-05-08T17:40:46.727555,108.25,6278,4.47
AAPL,2025-05-08T17:40:46.866411,423.9,6017,-1.89
PYPL,2025-05-08T17:40:47.505217,207.16,9266,-4.45
AMZN,2025-05-08T17:40:47.726923,188.14,4954,1.39
ADBE,2025-05-08T17:40:47.729949,494.85,4316,-1.58
NVDA,2025-05-08T17:40:47.874643,479.83,2930,1.86
META,2025-05-08T17:40:48.513522,443.36,4648,-0.34
NFLX,2025-05-08T17:40:48.730170,91.57,7611,3.13
AAPL,2025-05-08T17:40:48.736888,408.76,6198,3.17
AAPL,2025-05-08T17:40:48.877583,82.84,9932,3.19
NVDA,2025-05-08T17:40:49.518018,469.75,1127,2.84
AAPL,2025-05-08T17:40:49.733905,70.14,5532,2.94
META,2025-05-08T17:40:49.743999,106.0,5654,-0.34
AMZN,2025-05-08T17:40:49.880584,432.32,4505,2.6
