zookeeper-1  | ===> User
zookeeper-1  | uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)
zookeeper-1  | ===> Configuring ...
zookeeper-1  | ===> Running preflight checks ... 
zookeeper-1  | ===> Check if /var/lib/zookeeper/data is writable ...
zookeeper-1  | ===> Check if /var/lib/zookeeper/log is writable ...
zookeeper-1  | ===> Launching ... 
zookeeper-1  | ===> Launching zookeeper ... 
zookeeper-1  | [2025-05-11 15:40:22,227] INFO Reading configuration from: /etc/kafka/zookeeper.properties (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
zookeeper-1  | [2025-05-11 15:40:22,231] INFO clientPortAddress is 0.0.0.0:2181 (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
zookeeper-1  | [2025-05-11 15:40:22,232] INFO secureClientPort is not set (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
zookeeper-1  | [2025-05-11 15:40:22,232] INFO observerMasterPort is not set (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
zookeeper-1  | [2025-05-11 15:40:22,232] INFO metricsProvider.className is org.apache.zookeeper.metrics.impl.DefaultMetricsProvider (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
zookeeper-1  | [2025-05-11 15:40:22,232] INFO autopurge.snapRetainCount set to 3 (org.apache.zookeeper.server.DatadirCleanupManager)
zookeeper-1  | [2025-05-11 15:40:22,232] INFO autopurge.purgeInterval set to 0 (org.apache.zookeeper.server.DatadirCleanupManager)
zookeeper-1  | [2025-05-11 15:40:22,232] INFO Purge task is not scheduled. (org.apache.zookeeper.server.DatadirCleanupManager)
zookeeper-1  | [2025-05-11 15:40:22,232] WARN Either no config or no quorum defined in config, running in standalone mode (org.apache.zookeeper.server.quorum.QuorumPeerMain)
zookeeper-1  | [2025-05-11 15:40:22,233] INFO Log4j 1.2 jmx support not found; jmx disabled. (org.apache.zookeeper.jmx.ManagedUtil)
zookeeper-1  | [2025-05-11 15:40:22,233] INFO Reading configuration from: /etc/kafka/zookeeper.properties (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
zookeeper-1  | [2025-05-11 15:40:22,234] INFO clientPortAddress is 0.0.0.0:2181 (org.apache.zookeeper.server.quorum.QuorumPeerConfig)
