Event Producer started. Sending random event data...
Sent: {'event_id': 61437, 'event_type': 'view', 'user_id': 13, 'timestamp': '2025-05-08 11:01:48', 'timestamp_ms': 1746676908484}
Sent: {'event_id': 29969, 'event_type': 'purchase', 'user_id': 19, 'timestamp': '2025-05-08 11:01:49', 'timestamp_ms': 1746676909077}
Sent: {'event_id': 74644, 'event_type': 'logout', 'user_id': 4, 'timestamp': '2025-05-08 11:01:49', 'timestamp_ms': 1746676909202}
Sent: {'event_id': 62638, 'event_type': 'login', 'user_id': 18, 'timestamp': '2025-05-08 11:01:49', 'timestamp_ms': 1746676909600}
Sent: {'event_id': 89737, 'event_type': 'click', 'user_id': 19, 'timestamp': '2025-05-08 11:01:50', 'timestamp_ms': 1746676910068}
Sent: {'event_id': 74263, 'event_type': 'view', 'user_id': 7, 'timestamp': '2025-05-08 11:01:50', 'timestamp_ms': 1746676910200}
Sent: {'event_id': 45469, 'event_type': 'click', 'user_id': 18, 'timestamp': '2025-05-08 11:01:50', 'timestamp_ms': 1746676910679}
Sent: {'event_id': 41512, 'event_type': 'click', 'user_id': 1, 'timestamp': '2025-05-08 11:01:50', 'timestamp_ms': 1746676910915}
Sent: {'event_id': 90968, 'event_type': 'login', 'user_id': 12, 'timestamp': '2025-05-08 11:01:51', 'timestamp_ms': 1746676911193}
Sent: {'event_id': 71190, 'event_type': 'login', 'user_id': 5, 'timestamp': '2025-05-08 11:01:51', 'timestamp_ms': 1746676911600}
Sent: {'event_id': 25261, 'event_type': 'view', 'user_id': 20, 'timestamp': '2025-05-08 11:01:51', 'timestamp_ms': 1746676911767}
Sent: {'event_id': 10242, 'event_type': 'purchase', 'user_id': 10, 'timestamp': '2025-05-08 11:01:51', 'timestamp_ms': 1746676911877}
Sent: {'event_id': 37647, 'event_type': 'view', 'user_id': 11, 'timestamp': '2025-05-08 11:01:52', 'timestamp_ms': 1746676912165}
Sent: {'event_id': 21848, 'event_type': 'login', 'user_id': 20, 'timestamp': '2025-05-08 11:01:52', 'timestamp_ms': 1746676912330}
Sent: {'event_id': 78513, 'event_type': 'login', 'user_id': 12, 'timestamp': '2025-05-08 11:01:52', 'timestamp_ms': 1746676912473}
Sent: {'event_id': 90459, 'event_type': 'login', 'user_id': 10, 'timestamp': '2025-05-08 11:01:52', 'timestamp_ms': 1746676912967}
Sent: {'event_id': 65142, 'event_type': 'purchase', 'user_id': 19, 'timestamp': '2025-05-08 11:01:53', 'timestamp_ms': 1746676913153}
Sent: {'event_id': 96607, 'event_type': 'view', 'user_id': 4, 'timestamp': '2025-05-08 11:01:53', 'timestamp_ms': 1746676913295}
Sent: {'event_id': 37062, 'event_type': 'click', 'user_id': 17, 'timestamp': '2025-05-08 11:01:53', 'timestamp_ms': 1746676913418}
Sent: {'event_id': 73687, 'event_type': 'view', 'user_id': 15, 'timestamp': '2025-05-08 11:01:53', 'timestamp_ms': 1746676913812}
Sent: {'event_id': 49970, 'event_type': 'purchase', 'user_id': 10, 'timestamp': '2025-05-08 11:01:54', 'timestamp_ms': 1746676914031}
Sent: {'event_id': 52803, 'event_type': 'login', 'user_id': 7, 'timestamp': '2025-05-08 11:01:54', 'timestamp_ms': 1746676914170}
Sent: {'event_id': 86255, 'event_type': 'click', 'user_id': 16, 'timestamp': '2025-05-08 11:01:54', 'timestamp_ms': 1746676914440}
Sent: {'event_id': 24002, 'event_type': 'login', 'user_id': 11, 'timestamp': '2025-05-08 11:01:54', 'timestamp_ms': 1746676914748}
Sent: {'event_id': 79728, 'event_type': 'login', 'user_id': 5, 'timestamp': '2025-05-08 11:01:55', 'timestamp_ms': 1746676915085}
Sent: {'event_id': 66126, 'event_type': 'view', 'user_id': 13, 'timestamp': '2025-05-08 11:01:55', 'timestamp_ms': 1746676915449}
Sent: {'event_id': 80955, 'event_type': 'view', 'user_id': 17, 'timestamp': '2025-05-08 11:01:55', 'timestamp_ms': 1746676915556}
Sent: {'event_id': 29338, 'event_type': 'logout', 'user_id': 13, 'timestamp': '2025-05-08 11:01:55', 'timestamp_ms': 1746676915735}
Sent: {'event_id': 61364, 'event_type': 'view', 'user_id': 16, 'timestamp': '2025-05-08 11:01:56', 'timestamp_ms': 1746676916105}
Sent: {'event_id': 50924, 'event_type': 'login', 'user_id': 10, 'timestamp': '2025-05-08 11:01:56', 'timestamp_ms': 1746676916547}
Sent: {'event_id': 94793, 'event_type': 'login', 'user_id': 14, 'timestamp': '2025-05-08 11:01:56', 'timestamp_ms': 1746676916925}
Sent: {'event_id': 49309, 'event_type': 'logout', 'user_id': 3, 'timestamp': '2025-05-08 11:01:57', 'timestamp_ms': 1746676917127}
Sent: {'event_id': 88677, 'event_type': 'logout', 'user_id': 7, 'timestamp': '2025-05-08 11:01:57', 'timestamp_ms': 1746676917412}
Sent: {'event_id': 50220, 'event_type': 'view', 'user_id': 6, 'timestamp': '2025-05-08 11:01:57', 'timestamp_ms': 1746676917712}
Sent: {'event_id': 99142, 'event_type': 'click', 'user_id': 4, 'timestamp': '2025-05-08 11:01:58', 'timestamp_ms': 1746676918050}
Sent: {'event_id': 55923, 'event_type': 'click', 'user_id': 11, 'timestamp': '2025-05-08 11:01:58', 'timestamp_ms': 1746676918210}
Sent: {'event_id': 98225, 'event_type': 'login', 'user_id': 2, 'timestamp': '2025-05-08 11:01:58', 'timestamp_ms': 1746676918350}
Sent: {'event_id': 53304, 'event_type': 'logout', 'user_id': 12, 'timestamp': '2025-05-08 11:01:58', 'timestamp_ms': 1746676918778}
Sent: {'event_id': 34634, 'event_type': 'view', 'user_id': 6, 'timestamp': '2025-05-08 11:01:58', 'timestamp_ms': 1746676918887}
Sent: {'event_id': 32488, 'event_type': 'login', 'user_id': 4, 'timestamp': '2025-05-08 11:01:59', 'timestamp_ms': 1746676919057}
Sent: {'event_id': 97872, 'event_type': 'purchase', 'user_id': 14, 'timestamp': '2025-05-08 11:01:59', 'timestamp_ms': 1746676919295}
Sent: {'event_id': 10849, 'event_type': 'purchase', 'user_id': 9, 'timestamp': '2025-05-08 11:01:59', 'timestamp_ms': 1746676919495}
