E-commerce Transaction Producer started. Sending transaction data...
Sent: {'transaction_id': 81599, 'user_id': 17, 'product_id': 104, 'product_name': 'Tablet', 'quantity': 2, 'amount': 699.98, 'timestamp': '2025-05-08 11:14:21'}
Sent: {'transaction_id': 90298, 'user_id': 93, 'product_id': 108, 'product_name': 'Bluetooth Speaker', 'quantity': 1, 'amount': 79.99, 'timestamp': '2025-05-08 11:14:23'}
Sent: {'transaction_id': 52702, 'user_id': 31, 'product_id': 102, 'product_name': 'Laptop', 'quantity': 2, 'amount': 2599.98, 'timestamp': '2025-05-08 11:14:24'}
Sent: {'transaction_id': 91335, 'user_id': 4, 'product_id': 107, 'product_name': 'Gaming Console', 'quantity': 2, 'amount': 999.98, 'timestamp': '2025-05-08 11:14:25'}
Sent: {'transaction_id': 56469, 'user_id': 83, 'product_id': 102, 'product_name': 'Laptop', 'quantity': 2, 'amount': 2599.98, 'timestamp': '2025-05-08 11:14:26'}
Sent: {'transaction_id': 32682, 'user_id': 100, 'product_id': 109, 'product_name': 'External Hard Drive', 'quantity': 1, 'amount': 129.99, 'timestamp': '2025-05-08 11:14:28'}
Sent: {'transaction_id': 86741, 'user_id': 68, 'product_id': 109, 'product_name': 'External Hard Drive', 'quantity': 1, 'amount': 129.99, 'timestamp': '2025-05-08 11:14:28'}
Sent: {'transaction_id': 43347, 'user_id': 64, 'product_id': 110, 'product_name': 'Wireless Earbuds', 'quantity': 1, 'amount': 119.99, 'timestamp': '2025-05-08 11:14:30'}
Sent: {'transaction_id': 87765, 'user_id': 58, 'product_id': 109, 'product_name': 'External Hard Drive', 'quantity': 1, 'amount': 129.99, 'timestamp': '2025-05-08 11:14:31'}
Sent: {'transaction_id': 40916, 'user_id': 97, 'product_id': 101, 'product_name': 'Smartphone', 'quantity': 1, 'amount': 699.99, 'timestamp': '2025-05-08 11:14:32'}
Sent: {'transaction_id': 73531, 'user_id': 76, 'product_id': 110, 'product_name': 'Wireless Earbuds', 'quantity': 2, 'amount': 239.98, 'timestamp': '2025-05-08 11:14:33'}
Sent: {'transaction_id': 91216, 'user_id': 83, 'product_id': 106, 'product_name': 'Camera', 'quantity': 2, 'amount': 1199.98, 'timestamp': '2025-05-08 11:14:34'}
Sent: {'transaction_id': 25200, 'user_id': 94, 'product_id': 109, 'product_name': 'External Hard Drive', 'quantity': 2, 'amount': 259.98, 'timestamp': '2025-05-08 11:14:35'}
Sent: {'transaction_id': 98658, 'user_id': 83, 'product_id': 106, 'product_name': 'Camera', 'quantity': 2, 'amount': 1199.98, 'timestamp': '2025-05-08 11:14:37'}
