2025-05-08 12:24:58,564 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-2.2.4, node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-05-08 12:24:58,568 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-2.2.4, node_id=bootstrap-0 host=localhost:9092 <checking_api_versions_recv> [IPv6 ('::1', 9092, 0, 0)]>: Broker version identified as 2.6
2025-05-08 12:24:58,568 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-2.2.4, node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-05-08 12:24:58,569 - kafka.consumer.subscription_state - INFO - Updating subscribed topics to: ('sensor-data',)
2025-05-08 12:24:58,569 - sensor-consumer - INFO - Successfully connected to Kafka consumer
2025-05-08 12:24:58,570 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-05-08 12:24:58,574 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=localhost:9092 <checking_api_versions_recv> [IPv6 ('::1', 9092, 0, 0)]>: Broker version identified as 2.6
2025-05-08 12:24:58,574 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-05-08 12:24:58,575 - sensor-consumer - INFO - Successfully connected to Kafka DLQ producer
2025-05-08 12:24:58,575 - sensor-consumer - INFO - Starting to listen for records from 'sensor-data' topic...
2025-05-08 12:24:58,578 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-2.2.4, node_id=1001 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-05-08 12:24:58,678 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-2.2.4, node_id=1001 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-05-08 12:24:58,678 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-2.2.4, node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2025-05-08 12:24:58,783 - kafka.cluster - INFO - Coordinator for group/sensor-processing-group is BrokerMetadata(nodeId='coordinator-1001', host='localhost', port=9092, rack=None)
2025-05-08 12:24:58,784 - kafka.coordinator - INFO - Discovered coordinator coordinator-1001 for group sensor-processing-group
2025-05-08 12:24:58,784 - kafka.coordinator - INFO - Starting new heartbeat thread
2025-05-08 12:24:58,784 - kafka.coordinator.consumer - INFO - Revoking previously assigned partitions set() for group sensor-processing-group
2025-05-08 12:24:58,784 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-2.2.4, node_id=coordinator-1001 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-05-08 12:24:58,888 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-2.2.4, node_id=coordinator-1001 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-05-08 12:24:58,992 - kafka.coordinator - INFO - (Re-)joining group sensor-processing-group
2025-05-08 12:24:58,994 - kafka.coordinator - INFO - (Re-)joining group sensor-processing-group
2025-05-08 12:24:58,998 - kafka.coordinator - INFO - Elected group leader -- performing partition assignments using range
2025-05-08 12:24:59,002 - kafka.coordinator - INFO - Successfully joined group sensor-processing-group with generation 1
2025-05-08 12:24:59,002 - kafka.consumer.subscription_state - INFO - Updated partition assignment: [TopicPartition(topic='sensor-data', partition=0)]
2025-05-08 12:24:59,002 - kafka.coordinator.consumer - INFO - Setting newly assigned partitions {TopicPartition(topic='sensor-data', partition=0)} for group sensor-processing-group
2025-05-08 12:24:59,005 - kafka.consumer.fetcher - INFO - Resetting offset for partition TopicPartition(topic='sensor-data', partition=0) to offset 0.
2025-05-08 12:24:59,011 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=1001 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-05-08 12:24:59,011 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=1001 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-05-08 12:24:59,011 - kafka.conn - INFO - <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2025-05-08 12:24:59,014 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 1, 'temperature': 34.43, 'humidity': 59.27, 'timestamp': 1746681850.514267, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.010803'}
2025-05-08 12:24:59,014 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 1, 'temperature': 29.37, 'humidity': 31.43, 'timestamp': 1746681851.5194528, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.014759'}
2025-05-08 12:24:59,015 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 5, 'temperature': 25.96, 'humidity': 32.81, 'timestamp': 1746681853.5366862, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.015128'}
2025-05-08 12:24:59,015 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 3, 'temperature': 30.0, 'humidity': 52.41, 'timestamp': 1746681854.547265, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.015434'}
2025-05-08 12:24:59,015 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 5, 'temperature': 33.25, 'humidity': 39.13, 'timestamp': 1746681855.585367, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.015864'}
2025-05-08 12:24:59,016 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 2, 'temperature': 25.25, 'humidity': 60.44, 'timestamp': 1746681856.632111, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.016716'}
2025-05-08 12:24:59,016 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 3, 'temperature': 31.65, 'humidity': 69.34, 'timestamp': 1746681857.632737, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.016872'}
2025-05-08 12:24:59,018 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 5, 'temperature': 30.95, 'humidity': 34.04, 'timestamp': 1746681858.633046, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.017850'}
2025-05-08 12:24:59,018 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 3, 'temperature': 32.07, 'humidity': 44.26, 'timestamp': 1746681859.633497, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.018334'}
2025-05-08 12:24:59,018 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 4, 'temperature': 24.55, 'humidity': 69.73, 'timestamp': 1746681860.634548, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.018835'}
2025-05-08 12:24:59,019 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 3, 'temperature': 29.27, 'humidity': 39.61, 'timestamp': 1746681861.6355672, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.018956'}
2025-05-08 12:24:59,019 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 3, 'temperature': 23.92, 'humidity': 62.44, 'timestamp': 1746681862.639481, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.019077'}
2025-05-08 12:24:59,019 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 1, 'temperature': 28.44, 'humidity': 48.98, 'timestamp': 1746681863.639868, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.019184'}
2025-05-08 12:24:59,019 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 1, 'temperature': 20.92, 'humidity': 61.01, 'timestamp': 1746681864.645599, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.019319'}
2025-05-08 12:24:59,019 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 4, 'temperature': 26.9, 'humidity': 68.0, 'timestamp': 1746681852.531324, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.019707'}
2025-05-08 12:24:59,020 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 1, 'temperature': 33.84, 'humidity': 52.47, 'timestamp': 1746681865.651093, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.020913'}
2025-05-08 12:24:59,021 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 1, 'temperature': 32.98, 'humidity': 31.22, 'timestamp': 1746681866.656425, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.021052'}
2025-05-08 12:24:59,021 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 5, 'temperature': 28.61, 'humidity': 40.53, 'timestamp': 1746681867.662098, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.021648'}
2025-05-08 12:24:59,021 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 5, 'temperature': 33.55, 'humidity': 39.37, 'timestamp': 1746681850.74477, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.021786'}
2025-05-08 12:24:59,021 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 5, 'temperature': 29.09, 'humidity': 68.25, 'timestamp': 1746681851.747217, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.021883'}
2025-05-08 12:24:59,022 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 3, 'temperature': 26.79, 'humidity': 34.26, 'timestamp': 1746681852.749463, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.022473'}
2025-05-08 12:24:59,023 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 3, 'temperature': 30.07, 'humidity': 41.92, 'timestamp': 1746681853.7499719, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.023396'}
2025-05-08 12:24:59,024 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 5, 'temperature': 27.66, 'humidity': 62.78, 'timestamp': 1746681854.76461, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.024162'}
2025-05-08 12:24:59,024 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 1, 'temperature': 25.1, 'humidity': 49.54, 'timestamp': 1746681855.768345, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.024563'}
2025-05-08 12:24:59,024 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 4, 'temperature': 26.6, 'humidity': 57.71, 'timestamp': 1746681856.772678, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.024827'}
2025-05-08 12:24:59,025 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 1, 'temperature': 34.66, 'humidity': 50.34, 'timestamp': 1746681857.775358, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.025171'}
2025-05-08 12:24:59,025 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 5, 'temperature': 32.68, 'humidity': 37.75, 'timestamp': 1746681858.7756531, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.025375'}
2025-05-08 12:24:59,025 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 1, 'temperature': 26.08, 'humidity': 60.36, 'timestamp': 1746681859.776292, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.025485'}
2025-05-08 12:24:59,025 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 2, 'temperature': 32.67, 'humidity': 40.45, 'timestamp': 1746681860.776608, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.025557'}
2025-05-08 12:24:59,025 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 5, 'temperature': 27.6, 'humidity': 53.09, 'timestamp': 1746681861.780833, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.025637'}
2025-05-08 12:24:59,025 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 2, 'temperature': 26.14, 'humidity': 65.41, 'timestamp': 1746681862.781194, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.025743'}
2025-05-08 12:24:59,025 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 5, 'temperature': 26.44, 'humidity': 68.66, 'timestamp': 1746681863.781796, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.025895'}
2025-05-08 12:24:59,027 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 3, 'temperature': 32.76, 'humidity': 59.79, 'timestamp': 1746681864.783508, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.027546'}
2025-05-08 12:24:59,028 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 4, 'temperature': 30.55, 'humidity': 58.9, 'timestamp': 1746681865.7838411, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.027975'}
2025-05-08 12:24:59,029 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 3, 'temperature': 30.02, 'humidity': 45.71, 'timestamp': 1746681866.796897, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.029240'}
2025-05-08 12:24:59,030 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 4, 'temperature': 30.45, 'humidity': 38.95, 'timestamp': 1746681867.80225, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.029730'}
2025-05-08 12:24:59,030 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 3, 'temperature': 34.77, 'humidity': 45.46, 'timestamp': 1746681868.663504, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.030204'}
2025-05-08 12:24:59,030 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 2, 'temperature': 32.34, 'humidity': 34.29, 'timestamp': 1746681868.805769, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.030469'}
2025-05-08 12:24:59,031 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 5, 'temperature': 21.78, 'humidity': 39.53, 'timestamp': 1746681869.668767, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.030957'}
2025-05-08 12:24:59,031 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 1, 'temperature': 31.23, 'humidity': 45.18, 'timestamp': 1746681869.807633, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.031317'}
2025-05-08 12:24:59,034 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 2, 'temperature': 34.55, 'humidity': 42.19, 'timestamp': 1746681870.6716092, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.034290'}
2025-05-08 12:24:59,034 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 3, 'temperature': 31.05, 'humidity': 69.89, 'timestamp': 1746681870.810789, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.034722'}
2025-05-08 12:24:59,035 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 1, 'temperature': 26.19, 'humidity': 56.07, 'timestamp': 1746681871.672089, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.035032'}
2025-05-08 12:24:59,035 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 2, 'temperature': 33.15, 'humidity': 53.11, 'timestamp': 1746681871.8109949, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.035392'}
2025-05-08 12:24:59,037 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 4, 'temperature': 26.88, 'humidity': 31.32, 'timestamp': 1746681872.6724968, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.036765'}
2025-05-08 12:24:59,038 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 3, 'temperature': 26.34, 'humidity': 30.99, 'timestamp': 1746681872.815753, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.038401'}
2025-05-08 12:24:59,038 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 1, 'temperature': 28.12, 'humidity': 64.22, 'timestamp': 1746681873.672885, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.038603'}
2025-05-08 12:24:59,038 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 5, 'temperature': 32.71, 'humidity': 68.86, 'timestamp': 1746681873.8160121, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.038687'}
2025-05-08 12:24:59,038 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 3, 'temperature': 22.89, 'humidity': 46.16, 'timestamp': 1746681874.674986, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.038763'}
2025-05-08 12:24:59,038 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 5, 'temperature': 26.88, 'humidity': 41.18, 'timestamp': 1746681874.821056, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.038830'}
2025-05-08 12:24:59,038 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 2, 'temperature': 28.96, 'humidity': 41.38, 'timestamp': 1746681875.676872, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.038900'}
2025-05-08 12:24:59,038 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 1, 'temperature': 34.77, 'humidity': 34.71, 'timestamp': 1746681875.8247309, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.038966'}
2025-05-08 12:24:59,039 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 3, 'temperature': 27.88, 'humidity': 56.78, 'timestamp': 1746681876.679616, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.039210'}
2025-05-08 12:24:59,040 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 2, 'temperature': 30.55, 'humidity': 64.87, 'timestamp': 1746681876.828925, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.040068'}
2025-05-08 12:24:59,040 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 5, 'temperature': 30.78, 'humidity': 61.45, 'timestamp': 1746681877.680186, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.040208'}
2025-05-08 12:24:59,040 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 4, 'temperature': 30.02, 'humidity': 42.1, 'timestamp': 1746681877.829412, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.040583'}
2025-05-08 12:24:59,041 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 5, 'temperature': 24.37, 'humidity': 37.81, 'timestamp': 1746681878.680556, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.041135'}
2025-05-08 12:24:59,042 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 2, 'temperature': 23.27, 'humidity': 40.94, 'timestamp': 1746681878.829786, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.042135'}
2025-05-08 12:24:59,043 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 4, 'temperature': 23.32, 'humidity': 67.32, 'timestamp': 1746681879.685907, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.042781'}
2025-05-08 12:24:59,045 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 1, 'temperature': 26.83, 'humidity': 63.11, 'timestamp': 1746681879.830157, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.044865'}
2025-05-08 12:24:59,046 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 1, 'temperature': 28.14, 'humidity': 37.33, 'timestamp': 1746681880.687047, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.046314'}
2025-05-08 12:24:59,046 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 4, 'temperature': 34.88, 'humidity': 38.34, 'timestamp': 1746681880.833756, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.046495'}
2025-05-08 12:24:59,046 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 2, 'temperature': 23.71, 'humidity': 68.21, 'timestamp': 1746681881.690568, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.046588'}
2025-05-08 12:24:59,046 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 2, 'temperature': 21.57, 'humidity': 40.46, 'timestamp': 1746681881.836094, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.046741'}
2025-05-08 12:24:59,046 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 2, 'temperature': 30.55, 'humidity': 57.45, 'timestamp': 1746681882.6934268, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.046814'}
2025-05-08 12:24:59,047 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 1, 'temperature': 20.59, 'humidity': 48.37, 'timestamp': 1746681882.836264, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.046893'}
2025-05-08 12:24:59,047 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 4, 'temperature': 21.18, 'humidity': 30.63, 'timestamp': 1746681883.6956, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.047092'}
2025-05-08 12:24:59,047 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 3, 'temperature': 34.09, 'humidity': 52.09, 'timestamp': 1746681883.8399282, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.047204'}
2025-05-08 12:24:59,047 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 3, 'temperature': 31.53, 'humidity': 62.02, 'timestamp': 1746681884.698668, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.047281'}
2025-05-08 12:24:59,047 - sensor-consumer - WARNING - Sent error record to DLQ: {'sensor_id': 3, 'temperature': 29.32, 'humidity': 39.5, 'timestamp': 1746681884.840132, '_validation_errors': ['Missing required field: status'], '_error_timestamp': '2025-05-08T12:24:59.047352'}
